Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0875241348219497,0.00132743425076964,0.0474630684459225,0,0,0,3.15295004835025,0.00732952370902921,-5.47577884715443E-07,-7.3648848496294E-06,0.00563296593577528,-3.00885497223995E-07,0.0122350442649522,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709418,0.00830943309140329,0.00297622851896684,0,0,0,0.0727928435161987,2.20927876796313E-05,-1.64845302056349E-08,-1.56454773175211E-07,1.62632133784213E-05,2.96411876511635E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.0210436140506678,0.117153640036847,-0.036502747985397,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,2.60208521396521E-18,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588129E-22,-1.83311841364852E-20,0.000639661580367031,-3.3881317890172E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631527,-0.00679803845222954,0.0150436140506676,-1.62639053095063,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056318E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510623E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,fixed,-0.0700730174202914,-0.143531236062048,-0.0192156081309483,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,1.0842021724855E-19,0,0,0,0,0.767080911081152,0.00116426102407189,-5.00173420246734E-37,4.60638074444741E-39,0.000639661580367031,-2.21718708608611E-36,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.0369687639379516,-0.0240836054314246,0.0640730174202912,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.027907712769626,2.77555756156289E-17,0,0,0,0.154274604919348,0.000102170595380653,-1.61367477431584E-20,3.3708933537889E-20,9.22222134098982E-05,-1.5590996767477E-20,0.000101581618993256,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,Axis_LBS,LBS,fixed,-0.169,0.162750000000001,-0.0125623205686225,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LBW,-0.00179999999999999,-5.55111512312578E-17,-2.77555756156289E-17,0,0,0,0.113633226216432,4.10102313415104E-05,-1.6249537493551E-56,1.0696423136587E-40,4.15215808594844E-05,2.92725644003597E-40,4.10102313415104E-05,0,0,0,0,0,0,package://lide/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,fixed,0,-0.0539376794313772,0,3.14159265358979,0,1.5707963267949,LBS,0,0,0,0,0,0,0,,,,,,,,
RBS,1.38777878078145E-17,-0.027907712769626,2.77555756156289E-17,0,0,0,0.154274604919348,0.000102170595380653,2.94065990805127E-20,1.51976637503567E-20,9.22222134098983E-05,-1.55548647157759E-20,0.000101581618993256,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,Axis_RBS,RBS,fixed,-0.169,-0.162749999999999,-0.0125623205686228,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RBW,0.0018,6.93889390390723E-18,-8.32667268468867E-17,0,0,0,0.113633226216432,4.10102313415105E-05,0,9.99628968591676E-41,4.15215808594844E-05,-2.92725644003597E-40,4.10102313415105E-05,0,0,0,0,0,0,package://lide/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,fixed,0,-0.0539376794313772,0,0,0,-1.5707963267949,RBS,0,0,0,0,0,0,0,,,,,,,,
fcam,-0.0115544746517359,-2.64429642851671E-06,0.00129029302682182,0,0,0,0.0436119957238951,2.35707061906176E-05,-1.01842273867601E-09,2.17585832536704E-08,4.29479050056029E-06,-8.85018118703421E-10,2.21058153511885E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,Axis_fcam,fcam,fixed,0.0291177143234621,0,0.129817093613409,0,0.261799387799143,0,base_link,0,0,0,,,,,,,,,,,,
